"Educational level","Age","Year","Fathers' age"
"All levels of education","30-34","1993",2631
"All levels of education","30-34","1994",2464
"All levels of education","30-34","1995",2376
"All levels of education","30-34","1996",2442
"All levels of education","30-34","1997",2378
"All levels of education","30-34","1998",2447
"All levels of education","30-34","1999",2578
"All levels of education","30-34","2000",2882
"All levels of education","30-34","2001",2867
"All levels of education","30-34","2002",3152
"All levels of education","30-34","2003",3282
"All levels of education","30-34","2004",3566
"All levels of education","30-34","2005",3657
"All levels of education","30-34","2006",3886
"All levels of education","30-34","2007",4168
"All levels of education","30-34","2008",4231
"All levels of education","30-34","2009",4245
"All levels of education","30-34","2010",4414
"All levels of education","30-34","2011",4083
"All levels of education","30-34","2012",3990
"All levels of education","30-34","2013",3864
"All levels of education","30-34","2014",3942
"All levels of education","30-34","2015",4171
"All levels of education","30-34","2016",4217
"All levels of education","30-34","2017",4177
"All levels of education","30-34","2018",4576
"All levels of education","30-34","2019",4542
"All levels of education","30-34","2020",4405
"All levels of education","30-34","2021",4481
"All levels of education","30-34","2022",3847
"All levels of education","30-34","2023",3471
"All levels of education","30-34","2024",2923
"All levels of education","35-39","1992",1505
"All levels of education","35-39","1993",1215
"All levels of education","35-39","1994",1158
"All levels of education","35-39","1995",1121
"All levels of education","35-39","1996",1175
"All levels of education","35-39","1997",1197
"All levels of education","35-39","1998",1242
"All levels of education","35-39","1999",1348
"All levels of education","35-39","2000",1451
"All levels of education","35-39","2001",1491
"All levels of education","35-39","2002",1606
"All levels of education","35-39","2003",1670
"All levels of education","35-39","2004",1922
"All levels of education","35-39","2005",2154
"All levels of education","35-39","2006",2266
"All levels of education","35-39","2007",2540
"All levels of education","35-39","2008",2678
"All levels of education","35-39","2009",2714
"All levels of education","35-39","2010",2852
"All levels of education","35-39","2011",2812
"All levels of education","35-39","2012",2700
"All levels of education","35-39","2013",2692
"All levels of education","35-39","2014",2598
"All levels of education","35-39","2015",2698
"All levels of education","35-39","2016",2885
"All levels of education","35-39","2017",2811
"All levels of education","35-39","2018",3106
"All levels of education","35-39","2019",3109
"All levels of education","35-39","2020",2969
"All levels of education","35-39","2021",3163
"All levels of education","35-39","2022",2770
"All levels of education","35-39","2023",2650
"All levels of education","35-39","2024",2529
"All levels of education","40-44","1992",624
"All levels of education","40-44","1993",529
"All levels of education","40-44","1994",468
"All levels of education","40-44","1995",461
"All levels of education","40-44","1996",482
"All levels of education","40-44","1997",499
"All levels of education","40-44","1998",502
"All levels of education","40-44","1999",531
"All levels of education","40-44","2000",607
"All levels of education","40-44","2001",640
"All levels of education","40-44","2002",679
"All levels of education","40-44","2003",728
"All levels of education","40-44","2004",777
"All levels of education","40-44","2005",825
"All levels of education","40-44","2006",930
"All levels of education","40-44","2007",1047
"All levels of education","40-44","2008",1113
"All levels of education","40-44","2009",1109
"All levels of education","40-44","2010",1262
"All levels of education","40-44","2011",1278
"All levels of education","40-44","2012",1238
"All levels of education","40-44","2013",1233
"All levels of education","40-44","2014",1231
"All levels of education","40-44","2015",1287
"All levels of education","40-44","2016",1388
"All levels of education","40-44","2017",1283
"All levels of education","40-44","2018",1464
"All levels of education","40-44","2019",1403
"All levels of education","40-44","2020",1361
"All levels of education","40-44","2021",1448
"All levels of education","40-44","2022",1303
"All levels of education","40-44","2023",1242
"All levels of education","40-44","2024",1141
"All levels of education","45-49","1992",192
"All levels of education","45-49","1993",180
"All levels of education","45-49","1994",154
"All levels of education","45-49","1995",177
"All levels of education","45-49","1996",192
"All levels of education","45-49","1997",199
"All levels of education","45-49","1998",206
"All levels of education","45-49","1999",188
"All levels of education","45-49","2000",222
"All levels of education","45-49","2001",217
"All levels of education","45-49","2002",256
"All levels of education","45-49","2003",234
"All levels of education","45-49","2004",263
"All levels of education","45-49","2005",295
"All levels of education","45-49","2006",328
"All levels of education","45-49","2007",392
"All levels of education","45-49","2008",405
"All levels of education","45-49","2009",374
"All levels of education","45-49","2010",416
"All levels of education","45-49","2011",396
"All levels of education","45-49","2012",429
"All levels of education","45-49","2013",408
"All levels of education","45-49","2014",399
"All levels of education","45-49","2015",485
"All levels of education","45-49","2016",427
"All levels of education","45-49","2017",527
"All levels of education","45-49","2018",514
"All levels of education","45-49","2019",498
"All levels of education","45-49","2020",485
"All levels of education","45-49","2021",487
"All levels of education","45-49","2022",438
"All levels of education","45-49","2023",480
"All levels of education","45-49","2024",368
"All levels of education","50-54","1992",73
"All levels of education","50-54","1993",69
"All levels of education","50-54","1994",62
"All levels of education","50-54","1995",44
"All levels of education","50-54","1996",52
"All levels of education","50-54","1997",74
"All levels of education","50-54","1998",79
"All levels of education","50-54","1999",82
"All levels of education","50-54","2000",89
"All levels of education","50-54","2001",79
"All levels of education","50-54","2002",89
"All levels of education","50-54","2003",83
"All levels of education","50-54","2004",62
"All levels of education","50-54","2005",101
"All levels of education","50-54","2006",101
"All levels of education","50-54","2007",100
"All levels of education","50-54","2008",114
"All levels of education","50-54","2009",126
"All levels of education","50-54","2010",96
"All levels of education","50-54","2011",146
"All levels of education","50-54","2012",137
"All levels of education","50-54","2013",120
"All levels of education","50-54","2014",145
"All levels of education","50-54","2015",136
"All levels of education","50-54","2016",122
"All levels of education","50-54","2017",133
"All levels of education","50-54","2018",132
"All levels of education","50-54","2019",146
"All levels of education","50-54","2020",142
"All levels of education","50-54","2021",135
"All levels of education","50-54","2022",134
"All levels of education","50-54","2023",115
"All levels of education","50-54","2024",116
"All levels of education","55-59","1992",17
"All levels of education","55-59","1993",16
"All levels of education","55-59","1994",25
"All levels of education","55-59","1995",18
"All levels of education","55-59","1996",16
"All levels of education","55-59","1997",22
"All levels of education","55-59","1998",27
"All levels of education","55-59","1999",26
"All levels of education","55-59","2000",20
"All levels of education","55-59","2001",12
"All levels of education","55-59","2002",15
"All levels of education","55-59","2003",38
"All levels of education","55-59","2004",43
"All levels of education","55-59","2005",35
"All levels of education","55-59","2006",29
"All levels of education","55-59","2007",38
"All levels of education","55-59","2008",31
"All levels of education","55-59","2009",35
"All levels of education","55-59","2010",34
"All levels of education","55-59","2011",33
"All levels of education","55-59","2012",42
"All levels of education","55-59","2013",31
"All levels of education","55-59","2014",39
"All levels of education","55-59","2015",44
"All levels of education","55-59","2016",50
"All levels of education","55-59","2017",54
"All levels of education","55-59","2018",45
"All levels of education","55-59","2019",51
"All levels of education","55-59","2020",49
"All levels of education","55-59","2021",41
"All levels of education","55-59","2022",41
"All levels of education","55-59","2023",39
"All levels of education","55-59","2024",35
"All levels of education","60-64","1992",6
"All levels of education","60-64","1993",5
"All levels of education","60-64","1994",5
"All levels of education","60-64","1995",6
"All levels of education","60-64","1996",6
"All levels of education","60-64","1997",8
"All levels of education","60-64","1998",6
"All levels of education","60-64","1999",7
"All levels of education","60-64","2000",9
"All levels of education","60-64","2001",9
"All levels of education","60-64","2002",5
"All levels of education","60-64","2003",14
"All levels of education","60-64","2004",10
"All levels of education","60-64","2005",12
"All levels of education","60-64","2006",10
"All levels of education","60-64","2007",6
"All levels of education","60-64","2008",15
"All levels of education","60-64","2009",8
"All levels of education","60-64","2010",14
"All levels of education","60-64","2011",12
"All levels of education","60-64","2012",11
"All levels of education","60-64","2013",9
"All levels of education","60-64","2014",10
"All levels of education","60-64","2015",6
"All levels of education","60-64","2016",8
"All levels of education","60-64","2017",11
"All levels of education","60-64","2018",12
"All levels of education","60-64","2019",14
"All levels of education","60-64","2020",9
"All levels of education","60-64","2021",15
"All levels of education","60-64","2022",16
"All levels of education","60-64","2023",13
"All levels of education","60-64","2024",9
"All levels of education","65+","1992",3
"All levels of education","65+","1993",2
"All levels of education","65+","1994",1
"All levels of education","65+","1995",0
"All levels of education","65+","1996",2
"All levels of education","65+","1997",0
"All levels of education","65+","1998",1
"All levels of education","65+","1999",0
"All levels of education","65+","2000",4
"All levels of education","65+","2001",2
"All levels of education","65+","2002",3
"All levels of education","65+","2003",1
"All levels of education","65+","2004",5
"All levels of education","65+","2005",5
"All levels of education","65+","2006",6
"All levels of education","65+","2007",2
"All levels of education","65+","2008",3
"All levels of education","65+","2009",5
"All levels of education","65+","2010",5
"All levels of education","65+","2011",3
"All levels of education","65+","2012",3
"All levels of education","65+","2013",4
"All levels of education","65+","2014",4
"All levels of education","65+","2015",2
"All levels of education","65+","2016",5
"All levels of education","65+","2017",5
"All levels of education","65+","2018",2
"All levels of education","65+","2019",2
"All levels of education","65+","2020",3
"All levels of education","65+","2021",5
"All levels of education","65+","2022",3
"All levels of education","65+","2023",7
"All levels of education","65+","2024",1
"All levels of education","Age unknown","1992",702
"All levels of education","Age unknown","1993",521
"All levels of education","Age unknown","1994",595
"All levels of education","Age unknown","1995",610
"All levels of education","Age unknown","1996",708
"All levels of education","Age unknown","1997",564
"All levels of education","Age unknown","1998",563
"All levels of education","Age unknown","1999",767
"All levels of education","Age unknown","2000",1008
"All levels of education","Age unknown","2001",968
"All levels of education","Age unknown","2002",1002
"All levels of education","Age unknown","2003",952
"All levels of education","Age unknown","2004",882
"All levels of education","Age unknown","2005",854
"All levels of education","Age unknown","2006",738
"All levels of education","Age unknown","2007",698
"All levels of education","Age unknown","2008",668
"All levels of education","Age unknown","2009",596
"All levels of education","Age unknown","2010",538
"All levels of education","Age unknown","2011",547
"All levels of education","Age unknown","2012",452
"All levels of education","Age unknown","2013",462
"All levels of education","Age unknown","2014",429
"All levels of education","Age unknown","2015",402
"All levels of education","Age unknown","2016",373
"All levels of education","Age unknown","2017",353
"All levels of education","Age unknown","2018",323
"All levels of education","Age unknown","2019",321
"All levels of education","Age unknown","2020",321
"All levels of education","Age unknown","2021",299
"All levels of education","Age unknown","2022",300
"All levels of education","Age unknown","2023",287
"All levels of education","Age unknown","2024",230
"All levels of education","Average age","1992",28.1
"All levels of education","Average age","1993",28.2
"All levels of education","Average age","1994",28.2
"All levels of education","Average age","1995",28.4
"All levels of education","Average age","1996",28.7
"All levels of education","Average age","1997",29.1
"All levels of education","Average age","1998",29.5
"All levels of education","Average age","1999",29.6
"All levels of education","Average age","2000",30.1
"All levels of education","Average age","2001",30.3
"All levels of education","Average age","2002",30.6
"All levels of education","Average age","2003",30.9
"All levels of education","Average age","2004",30.9
"All levels of education","Average age","2005",31.2
"All levels of education","Average age","2006",31.3
"All levels of education","Average age","2007",31.5
"All levels of education","Average age","2008",31.7
"All levels of education","Average age","2009",31.9
"All levels of education","Average age","2010",32.2
"All levels of education","Average age","2011",32.5
"All levels of education","Average age","2012",32.7
"All levels of education","Average age","2013",32.7
"All levels of education","Average age","2014",32.8
"All levels of education","Average age","2015",33.1
"All levels of education","Average age","2016",33.4
"All levels of education","Average age","2017",33.6
"All levels of education","Average age","2018",33.9
"All levels of education","Average age","2019",34.0
"All levels of education","Average age","2020",34.2
"All levels of education","Average age","2021",34.5
"All levels of education","Average age","2022",34.5
"All levels of education","Average age","2023",34.6
"All levels of education","Average age","2024",34.7
"Basic education or lower","All age groups","1992",1770
"Basic education or lower","All age groups","1993",1602
"Basic education or lower","All age groups","1994",1620
"Basic education or lower","All age groups","1995",1572
"Basic education or lower","All age groups","1996",1617
"Basic education or lower","All age groups","1997",1561
"Basic education or lower","All age groups","1998",1461
"Basic education or lower","All age groups","1999",1616
"Basic education or lower","All age groups","2000",1593
"Basic education or lower","All age groups","2001",1627
"Basic education or lower","All age groups","2002",1598
"Basic education or lower","All age groups","2003",1614
"Basic education or lower","All age groups","2004",1883
"Basic education or lower","All age groups","2005",1823
"Basic education or lower","All age groups","2006",1970
"Basic education or lower","All age groups","2007",2189
"Basic education or lower","All age groups","2008",2262
"Basic education or lower","All age groups","2009",2310
"Basic education or lower","All age groups","2010",2181
"Basic education or lower","All age groups","2011",2117
"Basic education or lower","All age groups","2012",1997
"Basic education or lower","All age groups","2013",1905
"Basic education or lower","All age groups","2014",1846
"Basic education or lower","All age groups","2015",1828
"Basic education or lower","All age groups","2016",1797
"Basic education or lower","All age groups","2017",1686
"Basic education or lower","All age groups","2018",1803
"Basic education or lower","All age groups","2019",1743
"Basic education or lower","All age groups","2020",1586
"Basic education or lower","All age groups","2021",1443
"Basic education or lower","All age groups","2022",1313
"Basic education or lower","All age groups","2023",1228
"Basic education or lower","All age groups","2024",1074
"Basic education or lower","10-14","1992",1
"Basic education or lower","10-14","1993",0
"Basic education or lower","10-14","1994",0
"Basic education or lower","10-14","1995",0
"Basic education or lower","10-14","1996",0
"Basic education or lower","10-14","1997",0
"Basic education or lower","10-14","1998",0
"Basic education or lower","10-14","1999",1
"Basic education or lower","10-14","2000",0
"Basic education or lower","10-14","2001",0
"Basic education or lower","10-14","2002",0
"Basic education or lower","10-14","2003",0
"Basic education or lower","10-14","2004",2
"Basic education or lower","10-14","2005",0
"Basic education or lower","10-14","2006",0
"Basic education or lower","10-14","2007",0
"Basic education or lower","10-14","2008",1
"Basic education or lower","10-14","2009",1
"Basic education or lower","10-14","2010",0
"Basic education or lower","10-14","2011",0
"Basic education or lower","10-14","2012",0
"Basic education or lower","10-14","2013",1
"Basic education or lower","10-14","2014",0
"Basic education or lower","10-14","2015",1
"Basic education or lower","10-14","2016",0
"Basic education or lower","10-14","2017",0
"Basic education or lower","10-14","2018",1
"Basic education or lower","10-14","2019",0
"Basic education or lower","10-14","2020",0
"Basic education or lower","10-14","2021",0
"Basic education or lower","10-14","2022",1
"Basic education or lower","10-14","2023",0
"Basic education or lower","10-14","2024",0
"Basic education or lower","15-19","1992",241
"Basic education or lower","15-19","1993",190
"Basic education or lower","15-19","1994",232
"Basic education or lower","15-19","1995",231
"Basic education or lower","15-19","1996",212
"Basic education or lower","15-19","1997",200
"Basic education or lower","15-19","1998",159
"Basic education or lower","15-19","1999",165
"Basic education or lower","15-19","2000",153
"Basic education or lower","15-19","2001",133
"Basic education or lower","15-19","2002",126
"Basic education or lower","15-19","2003",118
"Basic education or lower","15-19","2004",142
"Basic education or lower","15-19","2005",162
"Basic education or lower","15-19","2006",175
"Basic education or lower","15-19","2007",208
"Basic education or lower","15-19","2008",195
"Basic education or lower","15-19","2009",157
"Basic education or lower","15-19","2010",124
"Basic education or lower","15-19","2011",117
"Basic education or lower","15-19","2012",116
"Basic education or lower","15-19","2013",95
"Basic education or lower","15-19","2014",91
"Basic education or lower","15-19","2015",77
"Basic education or lower","15-19","2016",56
"Basic education or lower","15-19","2017",60
"Basic education or lower","15-19","2018",48
"Basic education or lower","15-19","2019",51
"Basic education or lower","15-19","2020",49
"Basic education or lower","15-19","2021",37
"Basic education or lower","15-19","2022",32
"Basic education or lower","15-19","2023",36
"Basic education or lower","15-19","2024",28
"Basic education or lower","20-24","1992",607
"Basic education or lower","20-24","1993",583
"Basic education or lower","20-24","1994",615
"Basic education or lower","20-24","1995",624
"Basic education or lower","20-24","1996",682
"Basic education or lower","20-24","1997",665
"Basic education or lower","20-24","1998",626
"Basic education or lower","20-24","1999",706
"Basic education or lower","20-24","2000",669
"Basic education or lower","20-24","2001",652
"Basic education or lower","20-24","2002",609
"Basic education or lower","20-24","2003",572
"Basic education or lower","20-24","2004",642
"Basic education or lower","20-24","2005",565
"Basic education or lower","20-24","2006",667
"Basic education or lower","20-24","2007",688
"Basic education or lower","20-24","2008",706
"Basic education or lower","20-24","2009",720
"Basic education or lower","20-24","2010",603
"Basic education or lower","20-24","2011",571
"Basic education or lower","20-24","2012",478
"Basic education or lower","20-24","2013",484
"Basic education or lower","20-24","2014",421
"Basic education or lower","20-24","2015",331
"Basic education or lower","20-24","2016",266
"Basic education or lower","20-24","2017",250
"Basic education or lower","20-24","2018",225
"Basic education or lower","20-24","2019",238
"Basic education or lower","20-24","2020",200
"Basic education or lower","20-24","2021",164
"Basic education or lower","20-24","2022",162
"Basic education or lower","20-24","2023",141
"Basic education or lower","20-24","2024",145
"Basic education or lower","25-29","1992",308
"Basic education or lower","25-29","1993",289
"Basic education or lower","25-29","1994",315
"Basic education or lower","25-29","1995",321
"Basic education or lower","25-29","1996",325
"Basic education or lower","25-29","1997",332
"Basic education or lower","25-29","1998",352
"Basic education or lower","25-29","1999",401
"Basic education or lower","25-29","2000",409
"Basic education or lower","25-29","2001",487
"Basic education or lower","25-29","2002",493
"Basic education or lower","25-29","2003",561
"Basic education or lower","25-29","2004",630
"Basic education or lower","25-29","2005",636
"Basic education or lower","25-29","2006",632
"Basic education or lower","25-29","2007",689
"Basic education or lower","25-29","2008",695
"Basic education or lower","25-29","2009",680
"Basic education or lower","25-29","2010",683
"Basic education or lower","25-29","2011",582
"Basic education or lower","25-29","2012",636
"Basic education or lower","25-29","2013",614
"Basic education or lower","25-29","2014",615
"Basic education or lower","25-29","2015",628
"Basic education or lower","25-29","2016",611
"Basic education or lower","25-29","2017",543
"Basic education or lower","25-29","2018",556
"Basic education or lower","25-29","2019",447
"Basic education or lower","25-29","2020",385
"Basic education or lower","25-29","2021",315
"Basic education or lower","25-29","2022",279
"Basic education or lower","25-29","2023",249
"Basic education or lower","25-29","2024",229
"Basic education or lower","30-34","1992",241
"Basic education or lower","30-34","1993",213
"Basic education or lower","30-34","1994",187
"Basic education or lower","30-34","1995",173
"Basic education or lower","30-34","1996",166
"Basic education or lower","30-34","1997",146
"Basic education or lower","30-34","1998",153
"Basic education or lower","30-34","1999",146
"Basic education or lower","30-34","2000",148
