"Educational level","Age","Year","Fathers' age"
"Basic education or lower","50-54","2000",10
"Basic education or lower","50-54","2001",6
"Basic education or lower","50-54","2002",9
"Basic education or lower","50-54","2003",5
"Basic education or lower","50-54","2004",6
"Basic education or lower","50-54","2005",2
"Basic education or lower","50-54","2006",7
"Basic education or lower","50-54","2007",7
"Basic education or lower","50-54","2008",3
"Basic education or lower","50-54","2009",5
"Basic education or lower","50-54","2010",7
"Basic education or lower","50-54","2011",5
"Basic education or lower","50-54","2012",3
"Basic education or lower","50-54","2013",3
"Basic education or lower","50-54","2014",4
"Basic education or lower","50-54","2015",11
"Basic education or lower","50-54","2016",4
"Basic education or lower","50-54","2017",1
"Basic education or lower","50-54","2018",4
"Basic education or lower","50-54","2019",2
"Basic education or lower","50-54","2020",6
"Basic education or lower","50-54","2021",4
"Basic education or lower","50-54","2022",3
"Basic education or lower","50-54","2023",6
"Basic education or lower","50-54","2024",3
"Basic education or lower","55-59","1992",4
"Basic education or lower","55-59","1993",4
"Basic education or lower","55-59","1994",8
"Basic education or lower","55-59","1995",4
"Basic education or lower","55-59","1996",6
"Basic education or lower","55-59","1997",4
"Basic education or lower","55-59","1998",4
"Basic education or lower","55-59","1999",7
"Basic education or lower","55-59","2000",4
"Basic education or lower","55-59","2001",2
"Basic education or lower","55-59","2002",1
"Basic education or lower","55-59","2003",1
"Basic education or lower","55-59","2004",5
"Basic education or lower","55-59","2005",4
"Basic education or lower","55-59","2006",0
"Basic education or lower","55-59","2007",4
"Basic education or lower","55-59","2008",3
"Basic education or lower","55-59","2009",4
"Basic education or lower","55-59","2010",1
"Basic education or lower","55-59","2011",3
"Basic education or lower","55-59","2012",1
"Basic education or lower","55-59","2013",3
"Basic education or lower","55-59","2014",2
"Basic education or lower","55-59","2015",0
"Basic education or lower","55-59","2016",3
"Basic education or lower","55-59","2017",2
"Basic education or lower","55-59","2018",0
"Basic education or lower","55-59","2019",1
"Basic education or lower","55-59","2020",1
"Basic education or lower","55-59","2021",1
"Basic education or lower","55-59","2022",0
"Basic education or lower","55-59","2023",0
"Basic education or lower","55-59","2024",0
"Basic education or lower","60-64","1992",1
"Basic education or lower","60-64","1993",1
"Basic education or lower","60-64","1994",0
"Basic education or lower","60-64","1995",1
"Basic education or lower","60-64","1996",2
"Basic education or lower","60-64","1997",1
"Basic education or lower","60-64","1998",2
"Basic education or lower","60-64","1999",3
"Basic education or lower","60-64","2000",3
"Basic education or lower","60-64","2001",2
"Basic education or lower","60-64","2002",1
"Basic education or lower","60-64","2003",0
"Basic education or lower","60-64","2004",1
"Basic education or lower","60-64","2005",2
"Basic education or lower","60-64","2006",0
"Basic education or lower","60-64","2007",1
"Basic education or lower","60-64","2008",1
"Basic education or lower","60-64","2009",1
"Basic education or lower","60-64","2010",2
"Basic education or lower","60-64","2011",0
"Basic education or lower","60-64","2012",1
"Basic education or lower","60-64","2013",0
"Basic education or lower","60-64","2014",0
"Basic education or lower","60-64","2015",0
"Basic education or lower","60-64","2016",0
"Basic education or lower","60-64","2017",1
"Basic education or lower","60-64","2018",0
"Basic education or lower","60-64","2019",1
"Basic education or lower","60-64","2020",0
"Basic education or lower","60-64","2021",0
"Basic education or lower","60-64","2022",0
"Basic education or lower","60-64","2023",0
"Basic education or lower","60-64","2024",0
"Basic education or lower","65+","1992",1
"Basic education or lower","65+","1993",1
"Basic education or lower","65+","1994",1
"Basic education or lower","65+","1995",0
"Basic education or lower","65+","1996",1
"Basic education or lower","65+","1997",0
"Basic education or lower","65+","1998",0
"Basic education or lower","65+","1999",0
"Basic education or lower","65+","2000",0
"Basic education or lower","65+","2001",1
"Basic education or lower","65+","2002",0
"Basic education or lower","65+","2003",0
"Basic education or lower","65+","2004",0
"Basic education or lower","65+","2005",0
"Basic education or lower","65+","2006",1
"Basic education or lower","65+","2007",0
"Basic education or lower","65+","2008",0
"Basic education or lower","65+","2009",0
"Basic education or lower","65+","2010",1
"Basic education or lower","65+","2011",0
"Basic education or lower","65+","2012",0
"Basic education or lower","65+","2013",0
"Basic education or lower","65+","2014",0
"Basic education or lower","65+","2015",0
"Basic education or lower","65+","2016",0
"Basic education or lower","65+","2017",0
"Basic education or lower","65+","2018",0
"Basic education or lower","65+","2019",0
"Basic education or lower","65+","2020",0
"Basic education or lower","65+","2021",0
"Basic education or lower","65+","2022",0
"Basic education or lower","65+","2023",0
"Basic education or lower","65+","2024",0
"Basic education or lower","Age unknown","1992",35
"Basic education or lower","Age unknown","1993",15
"Basic education or lower","Age unknown","1994",22
"Basic education or lower","Age unknown","1995",17
"Basic education or lower","Age unknown","1996",25
"Basic education or lower","Age unknown","1997",11
"Basic education or lower","Age unknown","1998",8
"Basic education or lower","Age unknown","1999",13
"Basic education or lower","Age unknown","2000",12
"Basic education or lower","Age unknown","2001",16
"Basic education or lower","Age unknown","2002",15
"Basic education or lower","Age unknown","2003",15
"Basic education or lower","Age unknown","2004",19
"Basic education or lower","Age unknown","2005",9
"Basic education or lower","Age unknown","2006",7
"Basic education or lower","Age unknown","2007",10
"Basic education or lower","Age unknown","2008",7
"Basic education or lower","Age unknown","2009",8
"Basic education or lower","Age unknown","2010",10
"Basic education or lower","Age unknown","2011",8
"Basic education or lower","Age unknown","2012",9
"Basic education or lower","Age unknown","2013",4
"Basic education or lower","Age unknown","2014",7
"Basic education or lower","Age unknown","2015",8
"Basic education or lower","Age unknown","2016",5
"Basic education or lower","Age unknown","2017",3
"Basic education or lower","Age unknown","2018",2
"Basic education or lower","Age unknown","2019",0
"Basic education or lower","Age unknown","2020",2
"Basic education or lower","Age unknown","2021",0
"Basic education or lower","Age unknown","2022",1
"Basic education or lower","Age unknown","2023",1
"Basic education or lower","Age unknown","2024",0
"Basic education or lower","Average age","1992",27.7
"Basic education or lower","Average age","1993",27.9
"Basic education or lower","Average age","1994",27.0
"Basic education or lower","Average age","1995",26.4
"Basic education or lower","Average age","1996",26.4
"Basic education or lower","Average age","1997",26.4
"Basic education or lower","Average age","1998",26.4
"Basic education or lower","Average age","1999",26.5
"Basic education or lower","Average age","2000",26.7
"Basic education or lower","Average age","2001",26.7
"Basic education or lower","Average age","2002",26.8
"Basic education or lower","Average age","2003",26.8
"Basic education or lower","Average age","2004",27.0
"Basic education or lower","Average age","2005",27.1
"Basic education or lower","Average age","2006",26.8
"Basic education or lower","Average age","2007",27.0
"Basic education or lower","Average age","2008",27.2
"Basic education or lower","Average age","2009",27.7
"Basic education or lower","Average age","2010",28.3
"Basic education or lower","Average age","2011",28.6
"Basic education or lower","Average age","2012",28.7
"Basic education or lower","Average age","2013",28.7
"Basic education or lower","Average age","2014",29.0
"Basic education or lower","Average age","2015",29.6
"Basic education or lower","Average age","2016",30.3
"Basic education or lower","Average age","2017",30.4
"Basic education or lower","Average age","2018",31.1
"Basic education or lower","Average age","2019",31.2
"Basic education or lower","Average age","2020",31.5
"Basic education or lower","Average age","2021",31.9
"Basic education or lower","Average age","2022",32.1
"Basic education or lower","Average age","2023",32.3
"Basic education or lower","Average age","2024",32.3
"Secondary education","All age groups","1992",7459
"Secondary education","All age groups","1993",6133
"Secondary education","All age groups","1994",5402
"Secondary education","All age groups","1995",4965
"Secondary education","All age groups","1996",4802
"Secondary education","All age groups","1997",4418
"Secondary education","All age groups","1998",4209
"Secondary education","All age groups","1999",4263
"Secondary education","All age groups","2000",4298
"Secondary education","All age groups","2001",3998
"Secondary education","All age groups","2002",4106
"Secondary education","All age groups","2003",3775
"Secondary education","All age groups","2004",4014
"Secondary education","All age groups","2005",3950
"Secondary education","All age groups","2006",4030
"Secondary education","All age groups","2007",4180
"Secondary education","All age groups","2008",4096
"Secondary education","All age groups","2009",3964
"Secondary education","All age groups","2010",4038
"Secondary education","All age groups","2011",3638
"Secondary education","All age groups","2012",3586
"Secondary education","All age groups","2013",3413
"Secondary education","All age groups","2014",3402
"Secondary education","All age groups","2015",3354
"Secondary education","All age groups","2016",3417
"Secondary education","All age groups","2017",3189
"Secondary education","All age groups","2018",3383
"Secondary education","All age groups","2019",3187
"Secondary education","All age groups","2020",2973
"Secondary education","All age groups","2021",2960
"Secondary education","All age groups","2022",2768
"Secondary education","All age groups","2023",2644
"Secondary education","All age groups","2024",2225
"Secondary education","10-14","1992",0
"Secondary education","10-14","1993",0
"Secondary education","10-14","1994",1
"Secondary education","10-14","1995",0
"Secondary education","10-14","1996",0
"Secondary education","10-14","1997",0
"Secondary education","10-14","1998",0
"Secondary education","10-14","1999",0
"Secondary education","10-14","2000",0
"Secondary education","10-14","2001",0
"Secondary education","10-14","2002",0
"Secondary education","10-14","2003",0
"Secondary education","10-14","2004",0
"Secondary education","10-14","2005",0
"Secondary education","10-14","2006",0
"Secondary education","10-14","2007",0
"Secondary education","10-14","2008",0
"Secondary education","10-14","2009",0
"Secondary education","10-14","2010",0
"Secondary education","10-14","2011",0
"Secondary education","10-14","2012",0
"Secondary education","10-14","2013",0
"Secondary education","10-14","2014",0
"Secondary education","10-14","2015",0
"Secondary education","10-14","2016",0
"Secondary education","10-14","2017",0
"Secondary education","10-14","2018",0
"Secondary education","10-14","2019",0
"Secondary education","10-14","2020",0
"Secondary education","10-14","2021",0
"Secondary education","10-14","2022",0
"Secondary education","10-14","2023",0
"Secondary education","10-14","2024",0
"Secondary education","15-19","1992",302
"Secondary education","15-19","1993",218
"Secondary education","15-19","1994",174
"Secondary education","15-19","1995",175
"Secondary education","15-19","1996",147
"Secondary education","15-19","1997",120
"Secondary education","15-19","1998",94
"Secondary education","15-19","1999",91
"Secondary education","15-19","2000",67
"Secondary education","15-19","2001",65
"Secondary education","15-19","2002",52
"Secondary education","15-19","2003",46
"Secondary education","15-19","2004",43
"Secondary education","15-19","2005",36
"Secondary education","15-19","2006",44
"Secondary education","15-19","2007",43
"Secondary education","15-19","2008",28
"Secondary education","15-19","2009",25
"Secondary education","15-19","2010",19
"Secondary education","15-19","2011",18
"Secondary education","15-19","2012",14
"Secondary education","15-19","2013",16
"Secondary education","15-19","2014",16
"Secondary education","15-19","2015",12
"Secondary education","15-19","2016",13
"Secondary education","15-19","2017",7
"Secondary education","15-19","2018",5
"Secondary education","15-19","2019",7
"Secondary education","15-19","2020",9
"Secondary education","15-19","2021",9
"Secondary education","15-19","2022",6
"Secondary education","15-19","2023",4
"Secondary education","15-19","2024",3
"Secondary education","20-24","1992",2836
"Secondary education","20-24","1993",2337
"Secondary education","20-24","1994",1936
"Secondary education","20-24","1995",1673
"Secondary education","20-24","1996",1471
"Secondary education","20-24","1997",1266
"Secondary education","20-24","1998",1136
"Secondary education","20-24","1999",1103
"Secondary education","20-24","2000",1011
"Secondary education","20-24","2001",886
"Secondary education","20-24","2002",784
"Secondary education","20-24","2003",676
"Secondary education","20-24","2004",714
"Secondary education","20-24","2005",668
"Secondary education","20-24","2006",640
"Secondary education","20-24","2007",631
"Secondary education","20-24","2008",630
"Secondary education","20-24","2009",562
"Secondary education","20-24","2010",529
"Secondary education","20-24","2011",441
"Secondary education","20-24","2012",406
"Secondary education","20-24","2013",323
"Secondary education","20-24","2014",324
"Secondary education","20-24","2015",304
"Secondary education","20-24","2016",234
"Secondary education","20-24","2017",204
"Secondary education","20-24","2018",203
"Secondary education","20-24","2019",172
"Secondary education","20-24","2020",187
"Secondary education","20-24","2021",147
"Secondary education","20-24","2022",144
"Secondary education","20-24","2023",176
"Secondary education","20-24","2024",110
"Secondary education","25-29","1992",2134
"Secondary education","25-29","1993",1847
"Secondary education","25-29","1994",1683
"Secondary education","25-29","1995",1611
"Secondary education","25-29","1996",1599
"Secondary education","25-29","1997",1556
"Secondary education","25-29","1998",1476
"Secondary education","25-29","1999",1447
"Secondary education","25-29","2000",1409
"Secondary education","25-29","2001",1259
"Secondary education","25-29","2002",1266
"Secondary education","25-29","2003",1225
"Secondary education","25-29","2004",1279
"Secondary education","25-29","2005",1200
"Secondary education","25-29","2006",1202
"Secondary education","25-29","2007",1221
"Secondary education","25-29","2008",1140
"Secondary education","25-29","2009",1114
"Secondary education","25-29","2010",1134
"Secondary education","25-29","2011",1016
"Secondary education","25-29","2012",1017
"Secondary education","25-29","2013",997
"Secondary education","25-29","2014",978
"Secondary education","25-29","2015",945
"Secondary education","25-29","2016",888
"Secondary education","25-29","2017",809
"Secondary education","25-29","2018",759
"Secondary education","25-29","2019",694
"Secondary education","25-29","2020",620
"Secondary education","25-29","2021",579
"Secondary education","25-29","2022",578
"Secondary education","25-29","2023",490
"Secondary education","25-29","2024",419
"Secondary education","30-34","1992",1192
"Secondary education","30-34","1993",981
"Secondary education","30-34","1994",885
"Secondary education","30-34","1995",821
"Secondary education","30-34","1996",870
"Secondary education","30-34","1997",826
"Secondary education","30-34","1998",841
"Secondary education","30-34","1999",922
"Secondary education","30-34","2000",1025
"Secondary education","30-34","2001",978
"Secondary education","30-34","2002",1081
"Secondary education","30-34","2003",1005
"Secondary education","30-34","2004",1051
"Secondary education","30-34","2005",1059
"Secondary education","30-34","2006",1096
"Secondary education","30-34","2007",1175
"Secondary education","30-34","2008",1142
"Secondary education","30-34","2009",1118
"Secondary education","30-34","2010",1178
"Secondary education","30-34","2011",999
"Secondary education","30-34","2012",993
"Secondary education","30-34","2013",959
"Secondary education","30-34","2014",972
"Secondary education","30-34","2015",1001
"Secondary education","30-34","2016",1017
"Secondary education","30-34","2017",1022
"Secondary education","30-34","2018",1120
"Secondary education","30-34","2019",1085
"Secondary education","30-34","2020",1023
"Secondary education","30-34","2021",1053
"Secondary education","30-34","2022",909
"Secondary education","30-34","2023",840
"Secondary education","30-34","2024",678
"Secondary education","35-39","1992",574
"Secondary education","35-39","1993",460
"Secondary education","35-39","1994",427
"Secondary education","35-39","1995",394
"Secondary education","35-39","1996",421
"Secondary education","35-39","1997",412
"Secondary education","35-39","1998",411
"Secondary education","35-39","1999",455
"Secondary education","35-39","2000",473
"Secondary education","35-39","2001",478
"Secondary education","35-39","2002",578
"Secondary education","35-39","2003",503
"Secondary education","35-39","2004",601
"Secondary education","35-39","2005",652
"Secondary education","35-39","2006",664
"Secondary education","35-39","2007",722
"Secondary education","35-39","2008",722
"Secondary education","35-39","2009",705
"Secondary education","35-39","2010",708
"Secondary education","35-39","2011",699
"Secondary education","35-39","2012",679
"Secondary education","35-39","2013",636
"Secondary education","35-39","2014",648
"Secondary education","35-39","2015",645
"Secondary education","35-39","2016",772
"Secondary education","35-39","2017",701
"Secondary education","35-39","2018",757
"Secondary education","35-39","2019",709
"Secondary education","35-39","2020",661
"Secondary education","35-39","2021",686
"Secondary education","35-39","2022",670
"Secondary education","35-39","2023",669
"Secondary education","35-39","2024",593
"Secondary education","40-44","1992",228
"Secondary education","40-44","1993",180
"Secondary education","40-44","1994",167
"Secondary education","40-44","1995",158
"Secondary education","40-44","1996",165
"Secondary education","40-44","1997",157
"Secondary education","40-44","1998",149
"Secondary education","40-44","1999",151
"Secondary education","40-44","2000",205
"Secondary education","40-44","2001",206
"Secondary education","40-44","2002",221
"Secondary education","40-44","2003",209
"Secondary education","40-44","2004",212
"Secondary education","40-44","2005",214
"Secondary education","40-44","2006",270
"Secondary education","40-44","2007",251
"Secondary education","40-44","2008",288
"Secondary education","40-44","2009",302
"Secondary education","40-44","2010",338
"Secondary education","40-44","2011",321
"Secondary education","40-44","2012",319
"Secondary education","40-44","2013",314
"Secondary education","40-44","2014",313
"Secondary education","40-44","2015",289
"Secondary education","40-44","2016",336
"Secondary education","40-44","2017",279
"Secondary education","40-44","2018",367
"Secondary education","40-44","2019",356
"Secondary education","40-44","2020",324
"Secondary education","40-44","2021",348
"Secondary education","40-44","2022",303
"Secondary education","40-44","2023",304
"Secondary education","40-44","2024",289
"Secondary education","45-49","1992",62
"Secondary education","45-49","1993",56
"Secondary education","45-49","1994",53
"Secondary education","45-49","1995",65
"Secondary education","45-49","1996",56
"Secondary education","45-49","1997",46
"Secondary education","45-49","1998",69
"Secondary education","45-49","1999",50
"Secondary education","45-49","2000",60
"Secondary education","45-49","2001",65
"Secondary education","45-49","2002",67
"Secondary education","45-49","2003",58
"Secondary education","45-49","2004",67
"Secondary education","45-49","2005",73
"Secondary education","45-49","2006",76
"Secondary education","45-49","2007",98
"Secondary education","45-49","2008",104
"Secondary education","45-49","2009",94
"Secondary education","45-49","2010",93
"Secondary education","45-49","2011",97
"Secondary education","45-49","2012",115
"Secondary education","45-49","2013",116
"Secondary education","45-49","2014",95
"Secondary education","45-49","2015",125
"Secondary education","45-49","2016",107
"Secondary education","45-49","2017",122
"Secondary education","45-49","2018",123
"Secondary education","45-49","2019",118
"Secondary education","45-49","2020",104
"Secondary education","45-49","2021",99
"Secondary education","45-49","2022",117
"Secondary education","45-49","2023",120
"Secondary education","45-49","2024",83
"Secondary education","50-54","1992",14
"Secondary education","50-54","1993",16
"Secondary education","50-54","1994",13
"Secondary education","50-54","1995",12
"Secondary education","50-54","1996",17
"Secondary education","50-54","1997",14
"Secondary education","50-54","1998",16
"Secondary education","50-54","1999",17
"Secondary education","50-54","2000",22
"Secondary education","50-54","2001",21
"Secondary education","50-54","2002",23
"Secondary education","50-54","2003",21
"Secondary education","50-54","2004",20
"Secondary education","50-54","2005",24
"Secondary education","50-54","2006",17
"Secondary education","50-54","2007",22
"Secondary education","50-54","2008",24
"Secondary education","50-54","2009",32
"Secondary education","50-54","2010",29
"Secondary education","50-54","2011",32
"Secondary education","50-54","2012",30
"Secondary education","50-54","2013",31
"Secondary education","50-54","2014",39
"Secondary education","50-54","2015",18
"Secondary education","50-54","2016",33
"Secondary education","50-54","2017",28
"Secondary education","50-54","2018",26
"Secondary education","50-54","2019",31
"Secondary education","50-54","2020",32
"Secondary education","50-54","2021",22
"Secondary education","50-54","2022",27
"Secondary education","50-54","2023",28
"Secondary education","50-54","2024",36
"Secondary education","55-59","1992",5
"Secondary education","55-59","1993",2
"Secondary education","55-59","1994",6
"Secondary education","55-59","1995",1
"Secondary education","55-59","1996",5
"Secondary education","55-59","1997",5
"Secondary education","55-59","1998",4
"Secondary education","55-59","1999",6
"Secondary education","55-59","2000",2
"Secondary education","55-59","2001",3
"Secondary education","55-59","2002",1
"Secondary education","55-59","2003",7
"Secondary education","55-59","2004",6
"Secondary education","55-59","2005",7
"Secondary education","55-59","2006",8
"Secondary education","55-59","2007",5
"Secondary education","55-59","2008",8
"Secondary education","55-59","2009",7
"Secondary education","55-59","2010",6
"Secondary education","55-59","2011",2
"Secondary education","55-59","2012",9
"Secondary education","55-59","2013",9
"Secondary education","55-59","2014",11
"Secondary education","55-59","2015",10
"Secondary education","55-59","2016",13
"Secondary education","55-59","2017",9
"Secondary education","55-59","2018",18
"Secondary education","55-59","2019",9
"Secondary education","55-59","2020",6
"Secondary education","55-59","2021",5
"Secondary education","55-59","2022",9
"Secondary education","55-59","2023",4
"Secondary education","55-59","2024",8
"Secondary education","60-64","1992",1
"Secondary education","60-64","1993",1
"Secondary education","60-64","1994",1
"Secondary education","60-64","1995",1
"Secondary education","60-64","1996",0
"Secondary education","60-64","1997",0
"Secondary education","60-64","1998",0
"Secondary education","60-64","1999",0
"Secondary education","60-64","2000",1
"Secondary education","60-64","2001",0
"Secondary education","60-64","2002",1
"Secondary education","60-64","2003",1
"Secondary education","60-64","2004",1
"Secondary education","60-64","2005",3
"Secondary education","60-64","2006",3
"Secondary education","60-64","2007",0
"Secondary education","60-64","2008",3
"Secondary education","60-64","2009",2
"Secondary education","60-64","2010",1
"Secondary education","60-64","2011",5
"Secondary education","60-64","2012",0
"Secondary education","60-64","2013",5
"Secondary education","60-64","2014",4
"Secondary education","60-64","2015",1
"Secondary education","60-64","2016",1
"Secondary education","60-64","2017",3
"Secondary education","60-64","2018",3
"Secondary education","60-64","2019",4
"Secondary education","60-64","2020",3
"Secondary education","60-64","2021",4
"Secondary education","60-64","2022",3
"Secondary education","60-64","2023",2
"Secondary education","60-64","2024",2
"Secondary education","65+","1992",1
"Secondary education","65+","1993",0
"Secondary education","65+","1994",0
"Secondary education","65+","1995",0
"Secondary education","65+","1996",0
"Secondary education","65+","1997",0
"Secondary education","65+","1998",0
"Secondary education","65+","1999",0
"Secondary education","65+","2000",2
"Secondary education","65+","2001",0
"Secondary education","65+","2002",2
"Secondary education","65+","2003",1
"Secondary education","65+","2004",0
"Secondary education","65+","2005",0
"Secondary education","65+","2006",1
"Secondary education","65+","2007",0
"Secondary education","65+","2008",0
"Secondary education","65+","2009",0
"Secondary education","65+","2010",1
"Secondary education","65+","2011",1
"Secondary education","65+","2012",0
"Secondary education","65+","2013",0
"Secondary education","65+","2014",1
"Secondary education","65+","2015",1
"Secondary education","65+","2016",0
"Secondary education","65+","2017",1
"Secondary education","65+","2018",0
"Secondary education","65+","2019",1
"Secondary education","65+","2020",0
"Secondary education","65+","2021",1
"Secondary education","65+","2022",1
"Secondary education","65+","2023",3
"Secondary education","65+","2024",0
"Secondary education","Age unknown","1992",110
"Secondary education","Age unknown","1993",35
"Secondary education","Age unknown","1994",56
"Secondary education","Age unknown","1995",54
"Secondary education","Age unknown","1996",51
"Secondary education","Age unknown","1997",16
"Secondary education","Age unknown","1998",13
"Secondary education","Age unknown","1999",21
"Secondary education","Age unknown","2000",21
"Secondary education","Age unknown","2001",37
"Secondary education","Age unknown","2002",30
"Secondary education","Age unknown","2003",23
"Secondary education","Age unknown","2004",20
"Secondary education","Age unknown","2005",14
"Secondary education","Age unknown","2006",9
"Secondary education","Age unknown","2007",12
"Secondary education","Age unknown","2008",7
"Secondary education","Age unknown","2009",3
"Secondary education","Age unknown","2010",2
"Secondary education","Age unknown","2011",7
"Secondary education","Age unknown","2012",4
"Secondary education","Age unknown","2013",7
"Secondary education","Age unknown","2014",1
"Secondary education","Age unknown","2015",3
"Secondary education","Age unknown","2016",3
"Secondary education","Age unknown","2017",4
"Secondary education","Age unknown","2018",2
"Secondary education","Age unknown","2019",1
"Secondary education","Age unknown","2020",4
"Secondary education","Age unknown","2021",7
"Secondary education","Age unknown","2022",1
"Secondary education","Age unknown","2023",4
"Secondary education","Age unknown","2024",4
"Secondary education","Average age","1992",27.5
"Secondary education","Average age","1993",27.5
"Secondary education","Average age","1994",27.7
"Secondary education","Average age","1995",27.9
"Secondary education","Average age","1996",28.3
"Secondary education","Average age","1997",28.5
"Secondary education","Average age","1998",28.9
"Secondary education","Average age","1999",29.0
"Secondary education","Average age","2000",29.6
"Secondary education","Average age","2001",29.9
"Secondary education","Average age","2002",30.4
"Secondary education","Average age","2003",30.5
"Secondary education","Average age","2004",30.6
"Secondary education","Average age","2005",31.0
"Secondary education","Average age","2006",31.2
"Secondary education","Average age","2007",31.3
"Secondary education","Average age","2008",31.6
"Secondary education","Average age","2009",31.8
"Secondary education","Average age","2010",32.0
"Secondary education","Average age","2011",32.3
"Secondary education","Average age","2012",32.5
"Secondary education","Average age","2013",32.7
"Secondary education","Average age","2014",32.7
"Secondary education","Average age","2015",32.7
"Secondary education","Average age","2016",33.3
"Secondary education","Average age","2017",33.4
"Secondary education","Average age","2018",33.8
"Secondary education","Average age","2019",33.9
"Secondary education","Average age","2020",33.8
"Secondary education","Average age","2021",34.1
"Secondary education","Average age","2022",34.1
"Secondary education","Average age","2023",34.3
"Secondary education","Average age","2024",34.6
"Vocational education","All age groups","1992",5981
"Vocational education","All age groups","1993",4935
"Vocational education","All age groups","1994",4678
"Vocational education","All age groups","1995",4516
"Vocational education","All age groups","1996",4259
"Vocational education","All age groups","1997",3996
"Vocational education","All age groups","1998",3828
"Vocational education","All age groups","1999",3764
"Vocational education","All age groups","2000",4058
"Vocational education","All age groups","2001",3866
"Vocational education","All age groups","2002",3997
"Vocational education","All age groups","2003",4053
"Vocational education","All age groups","2004",4324
"Vocational education","All age groups","2005",4484
"Vocational education","All age groups","2006",4733
"Vocational education","All age groups","2007",4950
"Vocational education","All age groups","2008",4913
"Vocational education","All age groups","2009",4679
"Vocational education","All age groups","2010",4738
"Vocational education","All age groups","2011",4409
"Vocational education","All age groups","2012",4207
"Vocational education","All age groups","2013",4035
"Vocational education","All age groups","2014",3908
"Vocational education","All age groups","2015",4091
"Vocational education","All age groups","2016",3923
"Vocational education","All age groups","2017",3880
"Vocational education","All age groups","2018",4143
"Vocational education","All age groups","2019",3888
"Vocational education","All age groups","2020",3618
"Vocational education","All age groups","2021",3592
"Vocational education","All age groups","2022",3065
"Vocational education","All age groups","2023",2804
"Vocational education","All age groups","2024",2446
"Vocational education","10-14","1992",0
"Vocational education","10-14","1993",0
"Vocational education","10-14","1994",0
"Vocational education","10-14","1995",0
"Vocational education","10-14","1996",0
"Vocational education","10-14","1997",0
"Vocational education","10-14","1998",0
"Vocational education","10-14","1999",0
"Vocational education","10-14","2000",0
"Vocational education","10-14","2001",0
"Vocational education","10-14","2002",0
"Vocational education","10-14","2003",0
"Vocational education","10-14","2004",0
"Vocational education","10-14","2005",0
"Vocational education","10-14","2006",0
"Vocational education","10-14","2007",0
"Vocational education","10-14","2008",0
"Vocational education","10-14","2009",0
"Vocational education","10-14","2010",0
"Vocational education","10-14","2011",0
"Vocational education","10-14","2012",0
"Vocational education","10-14","2013",0
"Vocational education","10-14","2014",0
"Vocational education","10-14","2015",0
"Vocational education","10-14","2016",0
"Vocational education","10-14","2017",0
"Vocational education","10-14","2018",0
"Vocational education","10-14","2019",0
"Vocational education","10-14","2020",0
"Vocational education","10-14","2021",0
"Vocational education","10-14","2022",0
"Vocational education","10-14","2023",0
"Vocational education","10-14","2024",0
"Vocational education","15-19","1992",144
"Vocational education","15-19","1993",107
"Vocational education","15-19","1994",83
"Vocational education","15-19","1995",71
"Vocational education","15-19","1996",53
"Vocational education","15-19","1997",32
"Vocational education","15-19","1998",24
"Vocational education","15-19","1999",29
"Vocational education","15-19","2000",19
"Vocational education","15-19","2001",15
"Vocational education","15-19","2002",13
"Vocational education","15-19","2003",20
"Vocational education","15-19","2004",18
"Vocational education","15-19","2005",17
"Vocational education","15-19","2006",13
"Vocational education","15-19","2007",26
"Vocational education","15-19","2008",16
"Vocational education","15-19","2009",14
"Vocational education","15-19","2010",18
"Vocational education","15-19","2011",11
"Vocational education","15-19","2012",8
"Vocational education","15-19","2013",10
"Vocational education","15-19","2014",4
"Vocational education","15-19","2015",4
"Vocational education","15-19","2016",7
"Vocational education","15-19","2017",5
"Vocational education","15-19","2018",4
"Vocational education","15-19","2019",5
"Vocational education","15-19","2020",2
"Vocational education","15-19","2021",1
"Vocational education","15-19","2022",6
"Vocational education","15-19","2023",6
"Vocational education","15-19","2024",2
"Vocational education","20-24","1992",2062
"Vocational education","20-24","1993",1677
"Vocational education","20-24","1994",1499
"Vocational education","20-24","1995",1358
"Vocational education","20-24","1996",1147
"Vocational education","20-24","1997",940
"Vocational education","20-24","1998",804
"Vocational education","20-24","1999",690
"Vocational education","20-24","2000",658
"Vocational education","20-24","2001",629
"Vocational education","20-24","2002",601
"Vocational education","20-24","2003",585
"Vocational education","20-24","2004",616
"Vocational education","20-24","2005",644
"Vocational education","20-24","2006",663
"Vocational education","20-24","2007",617
"Vocational education","20-24","2008",572
"Vocational education","20-24","2009",533
"Vocational education","20-24","2010",468
"Vocational education","20-24","2011",419
"Vocational education","20-24","2012",402
"Vocational education","20-24","2013",378
"Vocational education","20-24","2014",357
"Vocational education","20-24","2015",337
"Vocational education","20-24","2016",299
"Vocational education","20-24","2017",248
"Vocational education","20-24","2018",233
"Vocational education","20-24","2019",212
"Vocational education","20-24","2020",184
"Vocational education","20-24","2021",160
"Vocational education","20-24","2022",169
"Vocational education","20-24","2023",141
"Vocational education","20-24","2024",140
"Vocational education","25-29","1992",1958
"Vocational education","25-29","1993",1688
"Vocational education","25-29","1994",1654
"Vocational education","25-29","1995",1622
"Vocational education","25-29","1996",1559
"Vocational education","25-29","1997",1566
"Vocational education","25-29","1998",1465
"Vocational education","25-29","1999",1368
